Timestamp,asset,protocol,sensor_a,sensor_b,label
2026-01-01 00:00:00,SWaT-PLC,modbus,0.2000,0.3200,0
2026-01-01 00:00:01,SWaT-PLC,modbus,0.2028,0.3199,0
2026-01-01 00:00:02,SWaT-PLC,modbus,0.2056,0.3195,0
2026-01-01 00:00:03,SWaT-PLC,modbus,0.2083,0.3189,0
2026-01-01 00:00:04,SWaT-PLC,modbus,0.2110,0.3181,0
2026-01-01 00:00:05,SWaT-PLC,modbus,0.2136,0.3170,0
2026-01-01 00:00:06,SWaT-PLC,modbus,0.2160,0.3158,0
2026-01-01 00:00:07,SWaT-PLC,modbus,0.2183,0.3144,0
2026-01-01 00:00:08,SWaT-PLC,modbus,0.2205,0.3129,0
2026-01-01 00:00:09,SWaT-PLC,modbus,0.2225,0.3112,0
2026-01-01 00:00:10,SWaT-PLC,modbus,0.2245,0.3094,0
2026-01-01 00:00:11,SWaT-PLC,modbus,0.2262,0.3074,0
2026-01-01 00:00:12,SWaT-PLC,modbus,0.2279,0.3053,0
2026-01-01 00:00:13,SWaT-PLC,modbus,0.2293,0.3031,0
2026-01-01 00:00:14,SWaT-PLC,modbus,0.2306,0.3007,0
2026-01-01 00:00:15,SWaT-PLC,modbus,0.2318,0.2983,0
2026-01-01 00:00:16,SWaT-PLC,modbus,0.2329,0.2957,0
2026-01-01 00:00:17,SWaT-PLC,modbus,0.2337,0.2930,0
2026-01-01 00:00:18,SWaT-PLC,modbus,0.2345,0.2901,0
2026-01-01 00:00:19,SWaT-PLC,modbus,0.2350,0.2872,0
2026-01-01 00:00:20,SWaT-PLC,modbus,0.2354,0.2842,0
2026-01-01 00:00:21,SWaT-PLC,modbus,0.2357,0.2811,0
2026-01-01 00:00:22,SWaT-PLC,modbus,0.2357,0.2779,0
2026-01-01 00:00:23,SWaT-PLC,modbus,0.2356,0.2747,0
2026-01-01 00:00:24,SWaT-PLC,modbus,0.2353,0.2714,0
2026-01-01 00:00:25,SWaT-PLC,modbus,0.2348,0.2680,0
2026-01-01 00:00:26,SWaT-PLC,modbus,0.2342,0.2646,0
2026-01-01 00:00:27,SWaT-PLC,modbus,0.2333,0.2611,0
2026-01-01 00:00:28,SWaT-PLC,modbus,0.2323,0.2575,0
2026-01-01 00:00:29,SWaT-PLC,modbus,0.2311,0.2539,0
2026-01-01 00:00:30,SWaT-PLC,modbus,0.2298,0.2502,0
2026-01-01 00:00:31,SWaT-PLC,modbus,0.2284,0.2465,0
2026-01-01 00:00:32,SWaT-PLC,modbus,0.2268,0.2428,0
2026-01-01 00:00:33,SWaT-PLC,modbus,0.2251,0.2390,0
2026-01-01 00:00:34,SWaT-PLC,modbus,0.2233,0.2352,0
2026-01-01 00:00:35,SWaT-PLC,modbus,1.0000,0.8500,1
2026-01-01 00:00:36,SWaT-PLC,modbus,1.0028,0.8499,1
2026-01-01 00:00:37,SWaT-PLC,modbus,1.0056,0.8495,1
2026-01-01 00:00:38,SWaT-PLC,modbus,1.0083,0.8489,1
2026-01-01 00:00:39,SWaT-PLC,modbus,1.0110,0.8481,1
2026-01-01 00:00:40,SWaT-PLC,modbus,0.2116,0.3160,0
